=== d=5 seed=1 FREE adversary, no realizability (T=12) ===
  t= 9 N= 2200 comps= 18 pockets=5710 sizes[0.32/0.10/0.09/0.08] kept=0.508 menu=  64 rank=0 next=(32, 2198)
  t=10 N= 2200 comps= 23 pockets=5785 sizes[0.15/0.09/0.09/0.07] kept=0.548 menu=  64 rank=0 next=(29, 2319)
  t=11 N= 2200 comps= 25 pockets=5838 sizes[0.10/0.08/0.07/0.07] kept=0.508 menu=  64 rank=0 next=(34, 2219)
  t=12 N= 2200 comps= 28 pockets=5799 sizes[0.08/0.06/0.05/0.05] kept=0.535 menu=  64 rank=0 next=(32, 2407)
  t=13 N= 2200 comps= 28 pockets=5781 sizes[0.09/0.08/0.07/0.06] kept=0.529 menu=  64 rank=0 next=(31, 2297)
  t=14 N= 2200 comps= 29 pockets=5963 sizes[0.06/0.05/0.05/0.05] kept=0.503 menu=  64 rank=0 next=(33, 2279)
=== d=6 seed=2 FREE adversary, no realizability (T=14) ===
  t= 1 N= 2200 comps=  1 pockets=   0 sizes[1.00] kept=0.493 menu=  64 rank=0 next=(1, 250)
  t= 2 N= 2200 comps=  1 pockets= 374 sizes[1.00] kept=0.506 menu=  64 rank=0 next=(1, 883)
  t= 3 N= 2200 comps=  1 pockets=1740 sizes[1.00] kept=0.445 menu=  64 rank=0 next=(1, 1700)
  t= 4 N= 2200 comps=  1 pockets=4131 sizes[1.00/0.00/0.00/0.00] kept=0.531 menu=  64 rank=0 next=(4, 1832)
  t= 5 N= 2200 comps=  1 pockets=4408 sizes[0.99/0.00/0.00/0.00] kept=0.510 menu=  64 rank=0 next=(11, 1605)
  t= 6 N= 2200 comps=  2 pockets=3889 sizes[0.95/0.01/0.00/0.00] kept=0.510 menu=  64 rank=0 next=(7, 1594)
  t= 7 N= 2200 comps=  1 pockets=3956 sizes[0.97/0.00/0.00/0.00] kept=0.485 menu=  64 rank=0 next=(14, 1780)
  t= 8 N= 2200 comps=  1 pockets=4284 sizes[0.97/0.00/0.00/0.00] kept=0.475 menu=  64 rank=0 next=(12, 1380)
  t= 9 N= 2200 comps=  6 pockets=3669 sizes[0.88/0.02/0.01/0.01] kept=0.489 menu=  64 rank=0 next=(24, 1759)
  t=10 N= 2200 comps=  4 pockets=4511 sizes[0.91/0.03/0.01/0.01] kept=0.524 menu=  64 rank=0 next=(22, 1909)
  t=11 N= 2200 comps=  3 pockets=5015 sizes[0.76/0.14/0.01/0.00] kept=0.522 menu=  64 rank=0 next=(23, 1873)
  t=12 N= 2200 comps= 10 pockets=4992 sizes[0.28/0.16/0.15/0.15] kept=0.503 menu=  64 rank=0 next=(27, 2008)
  t=13 N= 2200 comps=  7 pockets=4625 sizes[0.38/0.34/0.15/0.04] kept=0.485 menu=  64 rank=0 next=(18, 1825)
  t=14 N= 2200 comps=  8 pockets=4749 sizes[0.54/0.18/0.12/0.03] kept=0.540 menu=  64 rank=0 next=(23, 1824)
=== d=6 seed=3 FREE adversary, no realizability (T=14) ===
  t= 1 N= 2200 comps=  1 pockets=   0 sizes[1.00] kept=0.507 menu=  64 rank=0 next=(1, 227)
  t= 2 N= 2200 comps=  1 pockets= 388 sizes[1.00] kept=0.494 menu=  64 rank=0 next=(1, 952)
  t= 3 N= 2200 comps=  1 pockets=1979 sizes[1.00] kept=0.472 menu=  64 rank=0 next=(2, 1043)
  t= 4 N= 2200 comps=  1 pockets=2373 sizes[1.00] kept=0.462 menu=  64 rank=0 next=(3, 1341)
  t= 5 N= 2200 comps=  1 pockets=3350 sizes[0.99/0.00/0.00/0.00] kept=0.496 menu=  64 rank=0 next=(6, 1621)
  t= 6 N= 2200 comps=  2 pockets=3789 sizes[0.97/0.01/0.00/0.00] kept=0.498 menu=  64 rank=0 next=(8, 1630)
  t= 7 N= 2200 comps=  1 pockets=4030 sizes[0.99/0.00/0.00/0.00] kept=0.457 menu=  64 rank=0 next=(10, 1658)
  t= 8 N= 2200 comps=  1 pockets=3893 sizes[0.98/0.00/0.00/0.00] kept=0.512 menu=  64 rank=0 next=(7, 1793)
  t= 9 N= 2200 comps=  1 pockets=4252 sizes[0.98/0.00/0.00/0.00] kept=0.507 menu=  64 rank=0 next=(14, 1767)
  t=10 N= 2200 comps=  2 pockets=4331 sizes[0.95/0.01/0.00/0.00] kept=0.540 menu=  64 rank=0 next=(9, 2040)
  t=11 N= 2200 comps=  2 pockets=4694 sizes[0.94/0.03/0.00/0.00] kept=0.508 menu=  64 rank=0 next=(10, 1755)
  t=12 N= 2200 comps=  1 pockets=4349 sizes[0.96/0.00/0.00/0.00] kept=0.519 menu=  64 rank=0 next=(10, 1786)
  t=13 N= 2200 comps=  1 pockets=4152 sizes[0.96/0.00/0.00/0.00] kept=0.467 menu=  64 rank=0 next=(17, 1615)
  t=14 N= 2200 comps=  6 pockets=4138 sizes[0.64/0.26/0.02/0.01] kept=0.445 menu=  64 rank=0 next=(22, 1553)
